feature_id,reflection,bin_key,center_row,center_col,detector_x,detector_y,peak_intensity,mean_snr,n_bins,spatial_extent,reason
198,(012),50_11,50,11,214,142,480.0,50.5,235,42_5 42_9 43_11 43_4 43_5 43_9 44_0 44_1 44_10 44_11 44_12 44_13 44_14 44_15 44_16 44_17 44_18 44_19 44_2 44_20 44_21 44_22 44_23 44_25 44_27 44_28 44_3 44_30 44_4 44_5 44_6 44_7 44_8 44_9 45_0 45_1 45_10 45_11 45_12 45_13 45_14 45_15 45_16 45_17 45_18 45_19 45_2 45_20 45_21 45_22 45_23 45_24 45_25 45_27 45_28 45_29 45_3 45_30 45_4 45_5 45_6 45_7 45_8 45_9 46_0 46_1 46_10 46_11 46_12 46_13 46_14 46_15 46_16 46_17 46_18 46_19 46_2 46_20 46_21 46_22 46_23 46_24 46_25 46_26 46_27 46_28 46_29 46_3 46_30 46_31 46_4 46_5 46_6 46_7 46_8 46_9 47_0 47_1 47_10 47_11 47_12 47_13 47_14 47_15 47_16 47_17 47_18 47_19 47_2 47_20 47_21 47_23 47_24 47_26 47_27 47_3 47_30 47_4 47_5 47_6 47_7 47_8 47_9 48_0 48_1 48_10 48_11 48_12 48_13 48_14 48_15 48_16 48_17 48_18 48_19 48_2 48_20 48_21 48_22 48_23 48_24 48_25 48_26 48_27 48_28 48_29 48_3 48_30 48_4 48_5 48_6 48_7 48_8 48_9 49_0 49_1 49_10 49_11 49_12 49_13 49_14 49_15 49_16 49_17 49_18 49_19 49_2 49_23 49_24 49_26 49_28 49_3 49_4 49_5 49_6 49_7 49_8 49_9 50_0 50_1 50_10 50_11 50_12 50_13 50_14 50_15 50_16 50_17 50_18 50_19 50_2 50_20 50_21 50_22 50_23 50_24 50_25 50_26 50_27 50_29 50_3 50_30 50_31 50_4 50_5 50_6 50_7 50_8 50_9 51_0 51_1 51_10 51_11 51_12 51_13 51_14 51_15 51_16 51_17 51_18 51_19 51_2 51_20 51_21 51_22 51_23 51_25 51_3 51_30 51_4 51_5 51_6 51_7 51_8 51_9,"Gaussian-like: 66% monotonic, 235 bins"
199,(001),50_27,50,27,835,960,26.0,11.1,7,48_26 48_27 48_28 49_26 49_27 50_26 50_27,"Gaussian-like: 68% monotonic, 7 bins"
200,(001),50_30,50,30,873,509,16.0,7.4,18,47_28 48_27 48_28 48_29 48_30 49_31 50_25 50_26 50_27 50_28 50_29 50_30 50_31 50_32 50_33 50_34 50_35 51_34,"Gaussian-like: 44% monotonic, 18 bins"
201,(012),50_36,50,36,72,568,12.0,6.5,2,50_36 51_36,"Gaussian-like: 100% monotonic, 2 bins"
202,(001),50_37,50,37,821,674,28.0,9.3,14,46_37 47_37 48_37 48_38 49_37 49_38 50_37 50_38 50_39 50_40 50_41 51_37 51_38 51_39,"Gaussian-like: 67% monotonic, 14 bins"
203,(002),50_43,50,43,248,450,27.0,7.5,9,50_39 50_43 51_38 51_39 51_40 51_41 51_42 51_43 51_44,"Gaussian-like: 54% monotonic, 9 bins"
204,(001),50_43,50,43,819,669,11.0,5.7,2,50_43 50_44,"Gaussian-like: 100% monotonic, 2 bins"
205,(111),50_52,50,52,378,694,9.0,5.7,2,50_52 50_53,"Gaussian-like: 100% monotonic, 2 bins"
206,(002),50_60,50,60,257,412,553.0,63.1,39,41_59 41_60 41_61 41_62 42_59 42_60 42_61 42_62 43_59 43_60 43_61 43_62 44_59 44_60 44_61 44_62 45_59 45_60 45_61 45_62 46_58 46_59 46_60 46_61 46_62 47_59 47_60 47_61 47_62 48_59 48_60 48_61 48_62 49_59 49_60 49_61 49_62 50_59 50_60,"Gaussian-like: 60% monotonic, 39 bins"
207,(001),50_61,50,61,825,702,88.0,24.2,11,48_60 48_61 48_62 49_59 49_60 49_61 49_62 50_59 50_60 50_61 50_62,"Gaussian-like: 98% monotonic, 11 bins"
208,(012),51_0,51,0,56,915,188.0,37.9,58,48_1 48_10 48_12 48_18 48_3 48_4 48_8 49_0 49_1 49_12 49_16 49_17 49_2 49_3 49_5 49_7 49_9 50_0 50_1 50_10 50_11 50_12 50_13 50_14 50_15 50_16 50_17 50_18 50_19 50_2 50_3 50_4 50_5 50_6 50_7 50_8 50_9 51_0 51_1 51_10 51_11 51_12 51_13 51_14 51_15 51_16 51_17 51_18 51_19 51_2 51_20 51_3 51_4 51_5 51_6 51_7 51_8 51_9,"Gaussian-like: 59% monotonic, 58 bins"
209,(002),51_2,51,2,451,38,538.0,146.1,4,51_0 51_1 51_2 51_3,"Gaussian-like: 60% monotonic, 4 bins"
210,(002),51_10,51,10,451,45,17.0,10.1,3,51_10 51_11 51_9,"Gaussian-like: 100% monotonic, 3 bins"
211,(002),51_26,51,26,248,450,14.0,7.2,8,51_24 51_25 51_26 51_27 51_28 51_29 51_30 51_31,"Gaussian-like: 69% monotonic, 8 bins"
212,ITO,51_37,51,37,82,721,20.0,10.8,2,51_37 51_38,"Gaussian-like: 100% monotonic, 2 bins"
213,(002),51_46,51,46,257,412,317.0,45.7,37,41_45 41_46 41_47 41_48 42_45 42_46 42_47 42_48 43_45 43_46 43_47 43_48 44_46 44_47 44_48 45_46 45_47 45_48 46_46 46_47 46_48 47_46 47_47 47_48 48_46 48_47 48_48 49_46 49_47 49_48 50_46 50_47 50_48 51_45 51_46 51_47 51_48,"Gaussian-like: 66% monotonic, 37 bins"
